Commercial	Prefferrd Residential	Concatenated	Class_Desc	Primary_Code	Secondary_Code	Tertiary_Code	Quaternary_Code	Primary_Desc	Secondary_Desc	Tertiary_Desc	Quaternary_Desc
N	N	OI15	Electricity Distribution Pole / Pylon	O	I	15		Other (Ordnance Survey Only)	Industrial Support	Electricity Distribution Pole / Pylon	
N	N	ON	Significant Natural Object	O	N			Other (Ordnance Survey Only)	Significant Natural Object		
N	N	ON01	Boundary / Significant / Historic Tree / Pollard	O	N	1		Other (Ordnance Survey Only)	Significant Natural Object	Boundary / Significant / Historic Tree / Pollard	
N	N	ON02	Boundary / Significant Rock / Boulder	O	N	2		Other (Ordnance Survey Only)	Significant Natural Object	Boundary / Significant Rock / Boulder	
N	N	ON03	Natural Hole (Blow / Shake / Swallow)	O	N	3		Other (Ordnance Survey Only)	Significant Natural Object	Natural Hole (Blow / Shake / Swallow)	
N	N	OO	Ornamental / Cultural Object	O	O			Other (Ordnance Survey Only)	Ornamental / Cultural Object		
N	N	OO02	Mausoleum / Tomb / Grave	O	O	2		Other (Ordnance Survey Only)	Ornamental / Cultural Object	Mausoleum / Tomb / Grave	
N	N	OO03	Simple Ornamental Object	O	O	3		Other (Ordnance Survey Only)	Ornamental / Cultural Object	Simple Ornamental Object	
N	N	OO04	Maze	O	O	4		Other (Ordnance Survey Only)	Ornamental / Cultural Object	Maze	
N	N	OP	Sport / Leisure Support	O	P			Other (Ordnance Survey Only)	Sport / Leisure Support		
N	N	OP01	Butt / Hide	O	P	1		Other (Ordnance Survey Only)	Sport / Leisure Support	Butt / Hide	
N	N	OP02	Gallop / Ride	O	P	2		Other (Ordnance Survey Only)	Sport / Leisure Support	Gallop / Ride	
N	N	OP03	Miniature Railway	O	P	3		Other (Ordnance Survey Only)	Sport / Leisure Support	Miniature Railway	
N	N	OR	Royal Mail Infrastructure	O	R			Other (Ordnance Survey Only)	Royal Mail Infrastructure		
N	N	OR01	Postal Box	O	R	1		Other (Ordnance Survey Only)	Royal Mail Infrastructure	Postal Box	
N	N	OR02	Postal Delivery Box / Pouch	O	R	2		Other (Ordnance Survey Only)	Royal Mail Infrastructure	Postal Delivery Box / Pouch	
N	N	OR03	PO Box	O	R	3		Other (Ordnance Survey Only)	Royal Mail Infrastructure	PO Box	
N	N	OR04	Additional Mail / Packet Addressee	O	R	4		Other (Ordnance Survey Only)	Royal Mail Infrastructure	Additional Mail / Packet Addressee	
N	N	OS	Scientific / Observation Support	O	S			Other (Ordnance Survey Only)	Scientific / Observation Support		
N	N	OS01	Meteorological Station / Equipment	O	S	1		Other (Ordnance Survey Only)	Scientific / Observation Support	Meteorological Station / Equipment	
N	N	OS02	Radar / Satellite Infrastructure	O	S	2		Other (Ordnance Survey Only)	Scientific / Observation Support	Radar / Satellite Infrastructure	
N	N	OS03	Telescope / Observation Infrastructure / Astronomy	O	S	3		Other (Ordnance Survey Only)	Scientific / Observation Support	Telescope / Observation Infrastructure / Astronomy	
N	N	OT	Transport Support	O	T			Other (Ordnance Survey Only)	Transport Support		
N	N	OT01	Cattle Grid / Ford	O	T	1		Other (Ordnance Survey Only)	Transport Support	Cattle Grid / Ford	
N	N	OT02	Elevator / Escalator / Steps	O	T	2		Other (Ordnance Survey Only)	Transport Support	Elevator / Escalator / Steps	
N	N	OT03	Footbridge / Walkway	O	T	3		Other (Ordnance Survey Only)	Transport Support	Footbridge / Walkway	
N	N	OT04	Pole / Post / Bollard (Restricting Vehicular Access)	O	T	4		Other (Ordnance Survey Only)	Transport Support	Pole / Post / Bollard (Restricting Vehicular Access)	
N	N	OT05	Subway / Underpass	O	T	5		Other (Ordnance Survey Only)	Transport Support	Subway / Underpass	
N	N	OT06	Customs Inspection Facility	O	T	6		Other (Ordnance Survey Only)	Transport Support	Customs Inspection Facility	
N	N	OT07	Lay-By	O	T	7		Other (Ordnance Survey Only)	Transport Support	Lay-By	
N	N	OT08	Level Crossing	O	T	8		Other (Ordnance Survey Only)	Transport Support	Level Crossing	
N	N	OT09	Mail Pick Up	O	T	9		Other (Ordnance Survey Only)	Transport Support	Mail Pick Up	
N	N	OT10	Railway Pedestrian Crossing	O	T	10		Other (Ordnance Survey Only)	Transport Support	Railway Pedestrian Crossing	
N	N	OT11	Railway Buffer	O	T	11		Other (Ordnance Survey Only)	Transport Support	Railway Buffer	
N	N	OT12	Rail Drag	O	T	12		Other (Ordnance Survey Only)	Transport Support	Rail Drag	
N	N	OT13	Rail Infrastructure Services	O	T	13		Other (Ordnance Survey Only)	Transport Support	Rail Infrastructure Services	
N	N	OT14	Rail Kilometre Distance Marker	O	T	14		Other (Ordnance Survey Only)	Transport Support	Rail Kilometre Distance Marker	
N	N	OT15	Railway Lighting	O	T	15		Other (Ordnance Survey Only)	Transport Support	Railway Lighting	
N	N	OT16	Rail Mile Distance Marker	O	T	16		Other (Ordnance Survey Only)	Transport Support	Rail Mile Distance Marker	
N	N	OT17	Railway Turntable	O	T	17		Other (Ordnance Survey Only)	Transport Support	Railway Turntable	
N	N	OT18	Rail Weighbridge	O	T	18		Other (Ordnance Survey Only)	Transport Support	Rail Weighbridge	
N	N	OT19	Rail Signalling	O	T	19		Other (Ordnance Survey Only)	Transport Support	Rail Signalling	
N	N	OT20	Railway Traverse	O	T	20		Other (Ordnance Survey Only)	Transport Support	Railway Traverse	
N	N	OT21	Goods Tramway	O	T	21		Other (Ordnance Survey Only)	Transport Support	Goods Tramway	
N	N	OT22	Road Drag	O	T	22		Other (Ordnance Survey Only)	Transport Support	Road Drag	
N	N	OT23	Vehicle Dip	O	T	23		Other (Ordnance Survey Only)	Transport Support	Vehicle Dip	
N	N	OT24	Road Turntable	O	T	24		Other (Ordnance Survey Only)	Transport Support	Road Turntable	
N	N	OT25	Road Mile Distance Marker	O	T	25		Other (Ordnance Survey Only)	Transport Support	Road Mile Distance Marker	
N	N	OT26	Road Kilometre Distance Marker	O	T	26		Other (Ordnance Survey Only)	Transport Support	Road Kilometre Distance Marker	
N	N	OT27	Road Infrastructure Services	O	T	27		Other (Ordnance Survey Only)	Transport Support	Road Infrastructure Services	
N	N	OU	Unsupported Site	O	U			Other (Ordnance Survey Only)	Unsupported Site		
N	N	OU01	Cycle Parking Facility	O	U	1		Other (Ordnance Survey Only)	Unsupported Site	Cycle Parking Facility	
N	N	OU04	Picnic / Barbeque Site	O	U	4		Other (Ordnance Survey Only)	Unsupported Site	Picnic / Barbeque Site	
N	N	OU05	Travelling Persons Site	O	U	5		Other (Ordnance Survey Only)	Unsupported Site	Travelling Persons Site	
N	N	OU08	Shelter (Not Including Bus Shelter)	O	U	8		Other (Ordnance Survey Only)	Unsupported Site	Shelter (Not Including Bus Shelter)	
	Y	P	Parent Shell	P				Parent Shell			
	Y	PP	Property Shell	P	P			Parent Shell	Property Shell		
N		PS	Street Record	P	S			Parent Shell	Street Record		
N	Y	R	Residential	R				Residential			
N	Y	RB	Ancillary Building	R	B			Residential	Ancillary Building		
	N	RC	Car Park Space	R	C			Residential	Car Park Space		
	N	RC01	Allocated Parking	R	C	1		Residential	Car Park Space	Allocated Parking	
N	Y	RD	Dwelling	R	D			Residential	Dwelling		
N	Y	RD01	Caravan	R	D	1		Residential	Dwelling	Caravan	
N	Y	RD02	Detached	R	D	2		Residential	Dwelling	Detached	
N	Y	RD03	Semi-Detached	R	D	3		Residential	Dwelling	Semi-Detached	
N	Y	RD04	Terraced	R	D	4		Residential	Dwelling	Terraced	
N	Y	RD06	Self Contained Flat (Includes Maisonette / Apartment)	R	D	6		Residential	Dwelling	Self Contained Flat (Includes Maisonette / Apartment)	
N	Y	RD07	House Boat	R	D	7		Residential	Dwelling	House Boat	
	Y	RD08	Sheltered Accommodation	R	D	8		Residential	Dwelling	Sheltered Accommodation	
	Y	RD10	Privately Owned Holiday Caravan / Chalet	R	D	10		Residential	Dwelling	Privately Owned Holiday Caravan / Chalet	
	Y	RG	Garage	R	G			Residential	Garage		
	Y	RG02	Lock-Up Garage / Garage Court	R	G	2		Residential	Garage	Lock-Up Garage / Garage Court	
	Y	RH	House In Multiple Occupation	R	H			Residential	House In Multiple Occupation		
	Y	RH01	HMO Parent	R	H	1		Residential	House In Multiple Occupation	HMO Parent	
	Y	RH02	HMO Bedsit / Other Non Self Contained Accommodation	R	H	2		Residential	House In Multiple Occupation	HMO Bedsit / Other Non Self Contained Accommodation	
	Y	RH03	HMO Not Further Divided	R	H	3		Residential	House In Multiple Occupation	HMO Not Further Divided	
	Y	RI	Residential Institution	R	I			Residential	Residential Institution		
	Y	RI01	Care / Nursing Home	R	I	1		Residential	Residential Institution	Care / Nursing Home	
	Y	RI02	Communal Residence	R	I	2		Residential	Residential Institution	Communal Residence	
	Y	RI02NC	Non-Commercial Lodgings	R	I	2	NC	Residential	Residential Institution	Communal Residence	Non-Commercial Lodgings
	Y	RI02RC	Religious Community	R	I	2	RC	Residential	Residential Institution	Communal Residence	Religious Community
	Y	RI03	Residential Education	R	I	3		Residential	Residential Institution	Residential Education	
Y	Y	U	Unclassified	U				Unclassified			
Y	Y	UC	Awaiting Classification	U	C			Unclassified	Awaiting Classification		
Y	Y	UP	Pending Internal Investigation	U	P			Unclassified	Pending Internal Investigation		
Y	Y	X	Dual Use	X				Dual Use			
	N	Z	Object of Interest	Z				Object of Interest			
	N	ZA	Archaeological Dig Site	Z	A			Object of Interest	Archaeological Dig Site		
	N	ZM	Monument	Z	M			Object of Interest	Monument		
N	N	ZM01	Obelisk / Milestone / Standing Stone	Z	M	1		Object of Interest	Monument	Obelisk / Milestone / Standing Stone	
N	N	ZM01OB	Obelisk	Z	M	1	OB	Object of Interest	Monument	Obelisk / Milestone / Standing Stone	Obelisk
N	N	ZM01ST	Standing Stone	Z	M	1	ST	Object of Interest	Monument	Obelisk / Milestone / Standing Stone	Standing Stone
N	N	ZM02	Memorial / Market Cross	Z	M	2		Object of Interest	Monument	Memorial / Market Cross	
N	N	ZM03	Statue	Z	M	3		Object of Interest	Monument	Statue	
	N	ZM04	Castle / Historic Ruin	Z	M	4		Object of Interest	Monument	Castle / Historic Ruin	
	N	ZM05	Other Structure	Z	M	5		Object of Interest	Monument	Other Structure	
N	N	ZM05BS	Boundary Stone	Z	M	5	BS	Object of Interest	Monument	Other Structure	Boundary Stone
N	N	ZM05PN	Permanent Art Display / Sculpture	Z	M	5	PN	Object of Interest	Monument	Other Structure	Permanent Art Display / Sculpture
N	N	ZM05CE	Cascade / Fountain	Z	M	5	CE	Object of Interest	Monument	Other Structure	Cascade / Fountain
	N	ZM05WI	Windmill (Inactive)	Z	M	5	WI	Object of Interest	Monument	Other Structure	Windmill (Inactive)
	Y	ZS	Stately Home	Z	S			Object of Interest	Stately Home		
	N	ZU	Underground Feature	Z	U			Object of Interest	Underground Feature		
	N	ZU01	Cave	Z	U	1		Object of Interest	Underground Feature	Cave	
	N	ZU04	Pothole / Natural Hole	Z	U	4		Object of Interest	Underground Feature	Pothole / Natural Hole	
	N	ZV	Other Underground Feature	Z	V			Object of Interest	Other Underground Feature		
	N	ZV01	Cellar	Z	V	1		Object of Interest	Other Underground Feature	Cellar	
	N	ZV02	Disused Mine	Z	V	2		Object of Interest	Other Underground Feature	Disused Mine	
	N	ZV02MI	Mineral Mining / Inactive	Z	V	2	MI	Object of Interest	Other Underground Feature	Disused Mine	Mineral Mining / Inactive
	N	ZV02OI	Oil And / Gas Extraction/ Inactive	Z	V	2	OI	Object of Interest	Other Underground Feature	Disused Mine	Oil And / Gas Extraction/ Inactive
	N	ZV02QI	Mineral Quarrying And / Open Extraction / Inactive	Z	V	2	QI	Object of Interest	Other Underground Feature	Disused Mine	Mineral Quarrying And / Open Extraction / Inactive
N	N	ZV03	Well / Spring	Z	V	3		Object of Interest	Other Underground Feature	Well / Spring	
N	N	ZV03SG	Spring	Z	V	3	SG	Object of Interest	Other Underground Feature	Well / Spring	Spring
N	N	ZV03WL	Well	Z	V	3	WL	Object of Interest	Other Underground Feature	Well / Spring	Well
	Y	ZW	Place Of Worship	Z	W			Object of Interest	Place Of Worship		
	Y	ZW99AB	Abbey	Z	W	99	AB	Object of Interest	Place Of Worship		Abbey
	Y	ZW99CA	Cathedral	Z	W	99	CA	Object of Interest	Place Of Worship		Cathedral
	Y	ZW99CH	Church	Z	W	99	CH	Object of Interest	Place Of Worship		Church
	Y	ZW99CP	Chapel	Z	W	99	CP	Object of Interest	Place Of Worship		Chapel
	Y	ZW99GU	Gurdwara	Z	W	99	GU	Object of Interest	Place Of Worship		Gurdwara
	Y	ZW99KH	Kingdom Hall	Z	W	99	KH	Object of Interest	Place Of Worship		Kingdom Hall
	Y	ZW99MQ	Mosque	Z	W	99	MQ	Object of Interest	Place Of Worship		Mosque
	Y	ZW99MT	Minster	Z	W	99	MT	Object of Interest	Place Of Worship		Minster
	Y	ZW99SU	Stupa	Z	W	99	SU	Object of Interest	Place Of Worship		Stupa
	Y	ZW99SY	Synagogue	Z	W	99	SY	Object of Interest	Place Of Worship		Synagogue
	Y	ZW99TP	Temple	Z	W	99	TP	Object of Interest	Place Of Worship		Temple
	Y	ZW99LG	Lych Gate	Z	W	99	LG	Object of Interest	Place Of Worship		Lych Gate
